gender,age,education_level,annual_income,credit_score,employment_years,debt_ratio,loan_amount,dependents,prior_default,property_owner,savings_ratio,loan_approved,fair_label
1,22,3,40025,685,0,0.41,200000,4,0,0,0.214,1,1
1,25,2,25375,639,1,0.37,150000,0,0,1,0.126,0,0
0,32,1,20000,644,10,0.26,50000,2,1,1,0.155,0,0
1,65,3,40760,635,42,0.13,150000,2,0,1,0.269,1,1
0,47,1,20000,646,25,0.25,100000,2,0,1,0.239,0,0
0,58,3,37244,754,36,0.22,100000,4,0,0,0.274,0,1
0,44,3,38583,692,20,0.16,300000,1,0,0,0.181,0,1
1,50,2,26348,815,28,0.27,200000,1,0,0,0.088,1,1
0,42,2,26485,637,19,0.19,50000,2,0,0,0.241,0,0
1,48,3,37867,716,25,0.2,100000,4,0,1,0.22,1,1
1,60,3,39147,702,36,0.24,50000,3,0,1,0.222,1,1
0,61,2,26772,715,38,0.21,200000,2,0,0,0.089,0,1
1,34,2,26861,646,10,0.4,150000,3,0,0,0.149,0,0
1,44,2,24479,659,21,0.21,300000,0,0,1,0.125,1,1
0,37,1,20000,692,14,0.28,200000,1,0,0,0.232,0,0
1,51,1,20000,642,29,0.26,150000,0,0,1,0.235,0,0
0,25,1,20000,572,2,0.27,200000,0,0,0,0.197,0,0
0,61,1,20000,742,37,0.28,200000,2,0,0,0.277,0,1
0,37,2,25661,728,14,0.31,100000,3,0,0,0.319,0,1
1,52,4,53373,677,29,0.27,150000,2,0,1,0.228,1,1
1,63,3,40021,702,41,0.27,150000,2,0,1,0.254,1,1
0,46,1,20000,725,22,0.25,150000,0,0,1,0.157,0,1
1,65,2,24087,753,41,0.24,100000,2,0,0,0.142,1,1
0,33,2,25240,685,9,0.19,100000,1,0,1,0.281,0,1
0,47,1,20000,637,25,0.25,100000,2,0,1,0.13,0,0
0,58,4,50813,780,35,0.27,50000,1,0,0,0.256,1,1
1,54,2,24178,685,30,0.28,250000,2,0,1,0.338,1,1
1,49,4,51725,691,26,0.26,200000,1,0,1,0.252,1,1
0,30,2,24162,694,7,0.23,200000,2,0,0,0.194,0,0
1,33,3,39640,753,10,0.25,150000,0,0,0,0.093,1,1
1,26,1,20000,667,4,0.21,200000,1,0,1,0.213,0,0
0,49,2,27241,734,26,0.27,300000,1,0,1,0.281,0,1
0,56,2,26348,668,34,0.23,150000,2,0,1,0.186,0,1
0,26,3,39421,723,4,0.26,200000,2,1,1,0.282,0,1
0,55,3,39755,637,33,0.32,150000,3,0,0,0.229,0,1
1,55,3,37202,748,31,0.2,250000,2,0,1,0.223,1,1
0,34,3,37046,652,12,0.29,250000,1,0,1,0.175,0,1
0,60,3,37462,715,36,0.25,250000,2,0,0,0.084,0,1
1,63,2,27741,598,41,0.39,50000,1,0,0,0.166,0,0
1,35,2,24407,681,13,0.23,100000,0,0,0,0.165,0,0
0,32,3,38217,700,10,0.3,100000,2,0,1,0.246,0,1
0,63,3,39474,652,41,0.25,150000,0,0,1,0.199,0,1
0,59,3,37929,683,36,0.15,150000,0,0,1,0.287,0,1
0,25,2,27862,694,2,0.21,100000,2,0,1,0.223,0,1
1,54,1,20000,700,32,0.31,200000,2,0,0,0.16,1,1
1,28,4,51502,705,5,0.22,100000,2,0,1,0.135,1,1
0,62,2,24420,753,38,0.09,250000,0,0,1,0.152,0,1
0,29,1,20000,733,6,0.25,100000,3,0,1,0.213,0,0
0,58,3,40552,688,35,0.17,150000,2,0,1,0.17,0,1
0,31,4,51734,626,8,0.26,200000,3,0,1,0.114,0,1
1,64,1,20000,643,42,0.36,150000,2,0,1,0.281,1,1
1,36,3,37262,567,12,0.3,50000,2,0,1,0.212,0,0
0,59,4,51449,689,37,0.36,250000,0,0,0,0.222,0,1
0,36,4,52213,777,12,0.21,150000,2,0,1,0.134,1,1
0,26,4,51715,743,4,0.24,250000,2,0,1,0.117,0,1
0,50,2,24427,684,27,0.18,250000,1,0,1,0.187,0,1
0,40,2,27775,639,16,0.2,150000,2,0,0,0.038,0,0
1,31,1,20000,676,8,0.19,250000,2,0,1,0.262,0,0
1,33,1,20000,787,9,0.16,250000,2,0,0,0.144,1,1
1,25,2,24795,761,1,0.35,300000,1,0,0,0.179,1,1
0,52,2,27935,671,30,0.1,250000,0,1,1,0.234,0,1
1,39,1,20000,588,17,0.35,250000,0,0,1,0.182,0,0
1,37,2,24097,801,14,0.34,150000,2,0,1,0.107,1,1
1,61,1,20000,629,38,0.28,100000,0,0,0,0.32,0,0
1,57,3,40553,719,33,0.17,250000,0,0,1,0.077,1,1
0,46,2,27570,594,22,0.14,200000,4,1,1,0.021,0,0
1,44,2,27301,662,22,0.21,100000,0,1,0,0.27,0,0
1,33,2,25280,594,11,0.29,150000,2,0,0,0.083,0,0
0,55,1,20000,606,33,0.25,200000,4,0,0,0.3,0,0
1,57,4,52289,649,35,0.18,150000,2,0,1,0.23,1,1
1,58,2,25577,706,36,0.33,50000,2,0,0,0.223,1,1
1,24,2,24094,674,0,0.37,100000,4,1,0,0.154,0,0
0,30,1,20000,819,6,0.23,200000,3,0,1,0.134,0,1
1,39,2,25789,742,16,0.26,100000,2,0,1,0.17,1,1
0,64,1,20000,733,40,0.14,150000,1,0,0,0.13,0,1
1,56,2,24384,707,34,0.22,200000,1,0,0,0.297,1,1
1,55,2,24818,695,31,0.29,200000,3,0,1,0.141,1,1
1,62,3,40471,755,38,0.27,100000,3,0,0,0.241,1,1
1,35,3,40577,559,11,0.21,50000,3,0,0,0.28,0,0
0,25,1,20000,635,2,0.23,150000,2,0,0,0.13,0,0
0,50,1,20000,595,27,0.22,200000,1,0,1,0.23,0,0
0,62,2,25148,576,38,0.23,100000,1,1,1,0.128,0,0
1,36,1,20000,627,12,0.28,150000,0,0,1,0.186,0,0
1,49,1,20000,606,27,0.11,250000,2,0,1,0.163,0,0
0,63,3,40892,755,40,0.24,300000,0,0,1,0.144,1,1
1,37,1,20000,675,15,0.27,150000,1,0,1,0.213,0,0
1,33,3,37225,579,11,0.21,50000,3,0,1,0.103,0,0
1,26,1,20000,687,2,0.22,100000,0,1,1,0.274,0,0
1,55,4,52392,644,31,0.22,100000,4,0,1,0.113,1,1
0,63,3,40831,693,39,0.22,100000,0,0,0,0.099,0,1
0,22,3,38897,711,0,0.25,150000,4,0,0,0.18,0,1
0,60,1,20000,628,38,0.26,150000,1,0,1,0.17,0,0
1,53,3,40102,701,31,0.1,100000,0,1,0,0.228,1,1
1,47,3,38732,712,23,0.3,250000,2,0,0,0.207,1,1
1,38,3,40815,680,14,0.23,150000,3,0,0,0.07,1,1
1,48,2,24295,640,24,0.39,150000,1,0,0,0.279,0,0
1,45,3,37413,690,23,0.17,300000,2,0,0,0.178,1,1
0,56,1,20000,662,34,0.19,200000,4,0,0,0.219,0,0
0,63,2,25995,697,40,0.24,250000,0,1,1,0.376,0,1
1,60,3,39182,675,36,0.28,100000,3,0,0,0.303,1,1
0,47,2,26028,614,25,0.11,100000,0,1,1,0.217,0,0
0,59,1,20000,660,36,0.19,150000,1,0,0,0.09,0,0
0,44,2,27056,697,22,0.29,150000,0,0,0,0.091,0,1
0,43,3,37003,700,21,0.18,100000,1,0,1,0.293,0,1
1,25,1,20000,663,1,0.35,200000,0,0,1,0.168,0,0
1,30,2,24745,653,7,0.22,50000,1,0,1,0.187,0,0
1,25,1,20000,640,3,0.19,200000,1,0,0,0.108,0,0
0,28,3,37651,666,5,0.29,150000,2,0,0,0.236,0,1
1,44,1,20000,729,21,0.36,200000,2,0,1,0.291,1,1
1,23,3,38818,637,0,0.28,150000,2,0,0,0.322,0,0
1,45,2,25386,685,22,0.34,300000,0,0,1,0.164,1,1
1,61,3,40889,620,37,0.37,100000,4,0,1,0.252,1,1
0,52,4,53788,742,28,0.19,300000,1,0,1,0.192,1,1
0,52,1,20000,640,28,0.32,50000,0,0,1,0.27,0,0
1,61,2,27271,634,38,0.14,200000,2,0,0,0.2,1,1
1,64,3,39591,701,42,0.28,150000,2,1,0,0.134,1,1
1,55,2,27283,544,31,0.25,250000,0,1,1,0.306,0,0
1,45,2,26482,608,23,0.34,200000,0,0,1,0.208,0,0
1,47,3,38296,709,24,0.33,200000,3,1,0,0.172,1,1
1,37,4,50289,755,15,0.29,50000,1,0,0,0.214,1,1
1,34,2,24802,704,12,0.27,250000,1,0,0,0.141,1,1
0,36,2,26530,687,12,0.29,100000,4,0,1,0.233,0,1
0,48,2,26021,812,24,0.25,50000,0,0,0,0.184,0,1
1,25,1,20000,697,1,0.25,100000,2,0,1,0.136,0,0
1,37,3,37407,632,14,0.35,150000,1,0,1,0.39,1,1
0,51,3,37693,746,29,0.36,200000,0,0,1,0.119,0,1
1,65,3,38169,654,42,0.24,100000,0,0,1,0.228,1,1
0,51,1,20000,631,28,0.27,50000,2,0,0,0.205,0,0
0,57,2,26477,604,34,0.26,200000,0,0,0,0.118,0,0
1,24,2,24431,657,1,0.14,300000,2,0,1,0.173,0,0
1,43,2,27686,612,19,0.23,150000,4,0,1,0.093,0,0
0,43,3,38568,720,21,0.36,200000,2,1,0,0.365,0,1
1,33,1,20000,663,9,0.2,150000,1,0,1,0.179,0,0
0,42,3,37982,615,18,0.4,200000,0,0,1,0.185,0,1
0,25,3,40160,685,2,0.33,300000,1,0,0,0.356,0,1
0,52,4,53044,754,28,0.28,150000,1,1,1,0.134,0,1
1,65,3,38434,779,43,0.29,150000,4,0,1,0.304,1,1
0,52,3,37896,591,29,0.19,250000,4,0,0,0.247,0,1
1,44,2,27924,637,20,0.23,300000,1,1,0,0.042,0,0
1,41,1,20000,599,18,0.35,100000,0,0,0,0.17,0,0
0,36,2,27312,699,14,0.21,150000,3,0,1,0.235,0,1
1,44,2,24777,602,21,0.32,200000,2,0,1,0.203,0,0
0,49,3,37222,748,25,0.15,150000,1,0,0,0.203,0,1
0,37,3,38771,756,13,0.17,150000,1,0,1,0.151,0,1
1,58,2,25688,724,36,0.38,200000,1,1,0,0.143,1,1
1,42,2,24467,640,20,0.25,100000,3,0,1,0.175,0,0
1,36,1,20000,634,13,0.21,150000,0,0,1,0.357,0,0
1,38,3,38345,664,14,0.35,300000,3,0,1,0.127,1,1
1,58,3,39422,750,36,0.34,200000,0,0,1,0.161,1,1
0,34,3,40183,596,12,0.31,250000,4,0,1,0.202,0,0
1,40,2,26574,701,16,0.21,200000,1,0,0,0.083,1,1
1,51,2,24411,628,29,0.23,200000,0,0,1,0.235,1,1
0,39,3,39316,666,17,0.27,250000,0,0,0,0.097,0,1
1,35,3,37625,730,11,0.3,100000,2,1,1,0.113,1,1
0,57,2,25275,596,35,0.21,200000,0,1,1,0.109,0,0
1,57,3,38011,674,33,0.26,150000,2,0,1,0.069,1,1
1,41,2,27445,672,17,0.27,200000,0,0,0,0.301,0,0
0,40,3,38677,687,17,0.34,100000,0,0,1,0.242,0,1
0,65,3,40697,684,41,0.3,100000,1,0,1,0.274,0,1
0,28,3,39497,720,6,0.14,100000,2,0,0,0.267,0,1
0,65,2,24801,655,42,0.24,150000,1,0,1,0.187,0,1
0,25,2,25892,700,2,0.18,300000,1,0,0,0.198,0,0
1,55,3,38560,708,33,0.29,300000,2,0,0,0.281,1,1
1,23,3,38391,705,0,0.31,100000,1,0,1,0.331,1,1
0,26,2,26869,709,4,0.26,100000,0,0,0,0.099,0,0
0,31,3,37254,705,8,0.23,50000,0,0,1,0.402,0,1
0,53,1,20000,665,31,0.25,150000,0,0,1,0.095,0,0
1,63,4,53339,630,39,0.26,250000,2,1,0,0.163,1,1
1,62,3,39173,764,38,0.21,250000,1,0,1,0.206,1,1
0,34,2,25416,773,11,0.16,100000,1,1,0,0.213,0,1
1,60,2,24761,660,37,0.11,100000,2,0,0,0.357,1,1
0,26,1,20000,695,2,0.34,100000,1,0,1,0.281,0,0
0,31,1,20000,639,9,0.28,150000,2,0,1,0.233,0,0
1,31,2,24564,640,8,0.28,200000,0,0,1,0.283,0,0
0,59,3,38391,693,35,0.34,200000,2,0,0,0.228,0,1
0,48,3,38578,844,25,0.16,200000,2,1,0,0.146,0,1
1,42,2,27749,767,18,0.13,150000,3,0,1,0.239,1,1
0,29,2,27625,759,5,0.28,100000,3,0,0,0.205,0,1
1,22,2,27963,708,0,0.27,100000,2,0,0,0.133,0,0
0,49,1,20000,619,27,0.13,50000,3,0,1,0.301,0,0
1,60,1,20000,727,37,0.28,200000,1,1,0,0.196,0,0
0,35,3,38090,533,13,0.22,250000,1,0,0,0.11,0,0
1,42,4,53137,721,20,0.19,200000,4,0,0,0.123,1,1
